nome;valor;categoria;tipo;quartos;banheiros;area;detalhes;logradouro
Desconto Oportunidade  2-4 na Planta  elevador  #;R$ 116.008;Apartamentos;Venda - apartamento padrão;2;1;45m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. ITBI CARTÓRIO GRATIS 2-4 ELEVADOR  venda;R$ 116.023;Apartamentos;Venda - apartamento padrão;2;1;45m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Apto Novo  Oportunidade 2-4 pra sair do aluguel Ligue ;R$ 106.006;Apartamentos;Venda - apartamento padrão;2;1;54m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Faça agora seu Cadastro Oferta ;R$ 259.034;Apartamentos;Venda - apartamento padrão;2;2;68m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ 2-4 Próximo atacadão  venda;R$ 106.005;Apartamentos;Venda - apartamento padrão;2;1;54m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ Próximo da entrega 2-4  Oferta ;R$ 106.021;Apartamentos;Venda - apartamento padrão;2;1;54m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Lançamento  Ponto novo Avenida Rio de Janeiro  $$;R$ 259.024;Apartamentos;Venda - apartamento padrão;2;2;68m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ Localizado Ponto novo Lançamento  $$;R$ 259.002;Apartamentos;Venda - apartamento padrão;2;2;68m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Apto Na planta  Oportunidade Desconto  ..;R$ 249.008;Apartamentos;Venda - apartamento padrão;2;2;68m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Localizado bairro jardim  ..;R$ 106.010;Apartamentos;Venda - apartamento padrão;2;1;54m²;Academia, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ Athos Residence  Localizado ponto novo  Oportunidade  $$;R$ 214.021;Apartamentos;Venda - apartamento padrão;2;2;58m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Avenida Augusto Franco - de 2685 ao fim - lado ímpar
$$ Apto  Na planta  2-4  Oferta ;R$ 199.032;Apartamentos;Venda - apartamento padrão;2;2;58m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Oportunidade  2-3 na Planta  ..;R$ 199.023;Apartamentos;Venda - apartamento padrão;2;2;58m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Le Vert Boulevard  Localizado Farolândia  2-4  $$;R$ 240.037;Apartamentos;Venda - apartamento padrão;2;2;59m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Rua Alziro Zarur
´´ Oportunidade Na Planta  3-4 ...;R$ 264.031;Apartamentos;Venda - apartamento padrão;3;2;59m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Apto Novo  Oportunidade #;R$ 240.030;Apartamentos;Venda - apartamento padrão;2;2;62m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ Oportunidade Novo 2-4 ou 3-4  Farôlandia Oferta ;R$ 237.031;Apartamentos;Venda - apartamento padrão;2;2;59m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ Prestige Residence Localizado Jabutiana  3-4 ou 2-4.. Oferta ;R$ 310.030;Apartamentos;Venda - apartamento padrão;3;2;62m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Fátima Maria Chagas
$$ Localizado jabutiana novo 2-4 Ligue ;R$ 240.019;Apartamentos;Venda - apartamento padrão;3;2;78m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
. Localizado Próximo  Bairro jabutiana  2-4 ...;R$ 240.040;Apartamentos;Venda - apartamento padrão;2;2;62m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ Super Localização  3-4  Singulare  jardins Duplex  #;R$ 1.000.006;Apartamentos;Venda - apartamento duplex/triplex;3;3;104m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Joventina Alves - de 701/702 ao fim
Desconto Melhor Localidade do Luzia - Reserva Alameda   ..;R$ 437.013;Apartamentos;Venda - apartamento padrão;3;2;68m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
´´ Apto Localizado Av Rio janeiro  pronto pra morar  Oferta ;R$ 338.021;Apartamentos;Venda - apartamento padrão;3;3;82m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
